y_true,y_pred
1555.85,1499.54
1677.29,1534.7583
1562.02,1562.1406
1644.13,1535.0474
1631.29,1538.4408
1723.18,1620.2253
1672.94,1552.9385
1456.18,1443.1599
1525.84,1369.624
1444.12,1393.7007
1659.97,1494.3601
1423.77,1449.3942
1510.41,1347.5266
1412.93,1407.6177
1541.33,1465.0559
1578.68,1475.5665
1582.6,1506.1636
1652.8,1498.1614
1451.05,1474.7109
1436.1,1324.5867
1349.23,1291.2126
1647.99,1387.7859
1190.29,1297.2036
1342.72,1172.4822
1497.16,1289.9905
1461.43,1362.062
1442.94,1498.7853
1651.3,1539.311
1701.01,1491.8989
1621.78,1490.3108
1458.12,1453.437
1676.4,1486.3813
1669.93,1639.0521
1819.48,1673.5798
1740.28,1670.936
1832.14,1657.5068
1680.78,1631.764
1644.1,1492.0353
1547.38,1408.0867
1529.67,1367.8022
1299.74,1323.8885
1618.26,1420.2057
1760.6,1462.0239
1249.28,1439.5725
1867.09,1446.6799
1639.72,1496.7449
1400.4,1370.5527
1290.63,1163.8212
1017.54,1034.3035
1363.8,1175.8574
1498.35,1368.073
1408.41,1365.5259
1569.82,1433.4568
1542.54,1466.3162
1770.87,1492.0518
1577.6,1480.8888
1321.7,1310.2295
1371.51,1197.7482
1289.9,1313.4204
1675.5,1438.2498
1485.96,1407.7551
1252.39,1063.9072
798.1,830.2418
851.27,815.44867
1131.01,970.5659
1104.83,1030.1487
981.27,1025.2399
1309.52,1084.9749
1362.93,1202.9995
1425.8,1251.9648
1209.2,1180.3347
1315.18,1264.7373
1474.67,1257.217
1073.62,1168.1571
1237.36,1151.9688
1576.71,1352.387
1345.86,1400.0142
1430.18,1407.9438
1505.55,1257.7373
1135.97,1190.1279
1170.91,1162.2681
1388.1,1187.4392
1475.26,1243.3616
1321.06,1306.3857
1304.4,1328.2368
1561.51,1335.7402
1401.69,1436.9607
1951.43,1692.4324
1938.09,1935.5107
1976.97,1923.6301
1980.08,1837.9565
1871.5,1847.0176
1921.37,1864.6841
2021.66,1916.8966
2002.19,1911.2288
2032.23,1888.3264
1973.36,1893.5984
1948.06,1825.9281
1881.86,1818.136
1972.67,1837.8651
2016.33,1901.1514
2004.95,1911.2168
1961.43,1881.7704
1969.01,1863.72
1962.5,1848.5222
1893.21,1826.8441
1941.85,1813.5936
1907.56,1812.7603
1889.51,1810.6147
1907.54,1807.3798
1928.91,1827.3281
1913.78,1819.3425
1916.54,1772.9556
1782.08,1738.4958
1780.41,1717.7014
1894.17,1724.2864
1818.93,1718.5378
1741.31,1694.4639
1803.62,1692.0251
1814.34,1724.8258
1888.16,1777.9365
1898.84,1802.2849
1889.16,1796.5408
1888.07,1800.9414
1899.72,1806.553
1903.38,1810.8779
1886.84,1794.8027
1877.77,1774.9856
1846.78,1742.39
1829.58,1716.8475
1777.83,1690.6174
1762.05,1697.6311
1877.07,1735.4573
1877.02,1771.8213
1840.99,1755.2771
1821.71,1728.4263
1831.55,1729.0898
1835.13,1736.9988
1828.86,1737.334
1834.73,1733.6659
1833.92,1736.1182
1834.42,1741.0803
1878.17,1750.0469
1862.41,1755.6162
1876.2,1762.1895
1846.93,1752.3267
1852.51,1756.6163
1833.01,1762.7777
1838.95,1751.3604
1842.24,1754.0874
1830.11,1753.719
1842.13,1661.3657
1693.99,1503.7977
1398.57,1350.9221
1311.45,1294.4331
1685.67,1425.2212
1670.69,1653.2269
1791.97,1645.4817
1683.23,1594.9202
1665.53,1577.1631
1585.49,1545.0704
1707.8,1491.7122
1412.6,1389.6621
1277.48,1287.5134
1520.13,1320.9661
1478.52,1409.1365
1512.97,1378.6282
1377.57,1262.6157
1318.74,1261.5784
1332.8,1267.4365
1511.42,1342.972
1310.62,1302.2571
1397.73,1226.6775
1265.08,1227.648
1379.37,1263.2902
1377.0,1299.8892
1514.14,1349.9128
1372.62,1359.294
1401.05,1362.1488
1504.55,1387.7012
1604.46,1406.6033
1454.58,1391.4911
1365.38,1361.2753
1449.07,1358.8479
1502.97,1406.7007
1594.31,1427.1914
1492.3,1407.0842
1402.36,1363.7888
1503.95,1355.8062
1487.86,1389.6715
1441.39,1389.9037
1512.43,1343.3147
1288.54,1258.8877
